Type,Start,End,Duration,Total Energy (kJ),Active Energy (kJ),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (km),Avg Speed(km/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (m),Elevation Descended (m)
Traditional Strength Training,2023-07-22 08:50,2023-07-22 10:18,01:27:59,4490,3634,159,129.1,,,2110,0.4,,,,,
Traditional Strength Training,2023-07-20 16:20,2023-07-20 17:13,00:52:19,2948,2385,164,133.94,,,1177,0.375,,,,,
Traditional Strength Training,2023-07-19 16:49,2023-07-19 18:02,01:13:16,2774,2111,156,112.49,,,1380,0.314,,,,,
Cycling,2023-07-11 08:17,2023-07-11 08:30,00:13:07,831.81,624.74,151,111.81,2.07,9.48,288,0.366,,,,3.76,
Cycling,2023-07-10 18:12,2023-07-10 18:33,00:21:15,1089,853.69,149,113.24,3.85,10.85,59,0.046,,,13.0,44.53,
Cycling,2023-07-06 08:03,2023-07-06 08:16,00:13:32,750.46,540.09,160,124.02,2.78,12.31,144,0.177,,,,56.81,
Cycling,2023-07-03 17:35,2023-07-03 17:51,00:16:38,987.66,768.05,151,125.52,3.44,12.41,881,0.882,,,11.0,50.77,
Cycling,2023-06-28 16:14,2023-06-28 16:32,00:17:50,958.38,733.43,157,124.83,4.15,13.96,58,0.054,,,7.0,,
Cycling,2023-06-28 08:04,2023-06-28 08:19,00:15:04,859.15,636.4,156,114.51,2.72,10.81,147,0.163,,,,17.19,
Cycling,2023-06-23 15:12,2023-06-23 15:23,00:11:13,1122,691.25,165,143.08,3.25,17.39,46,0.068,,,12.0,39.3,
Cycling,2023-06-23 08:03,2023-06-23 08:13,00:09:58,612.32,437.06,145,123.36,2.78,16.7,157,0.262,,,,50.8,
Cycling,2023-06-22 17:01,2023-06-22 17:12,00:11:11,717.34,518.29,151,144.86,3.09,16.57,93,0.138,,,,75.25,
Cycling,2023-06-22 08:11,2023-06-22 08:29,00:18:01,1027,773.94,158,119.79,4.17,13.89,256,0.237,,,2.0,19.55,
Cycling,2023-06-21 20:26,2023-06-21 21:04,00:37:49,1706,1282,161,117.87,3.58,5.68,283,0.125,,,3.0,29.26,
Cycling,2023-06-20 16:54,2023-06-20 17:10,00:15:37,760.29,637.73,156,127.42,3.37,12.93,108,0.115,,,12.0,34.02,
Surfing Sports,2023-06-17 08:49,2023-06-17 10:58,02:09:23,4459,3344,139,93.96,,,7435,0.958,,,,,
Cycling,2023-06-16 17:09,2023-06-16 17:54,00:44:44,1350,925.08,170,106.5,4.31,5.77,173,0.064,,,1.0,41.81,
Cycling,2023-06-15 16:23,2023-06-15 16:41,00:18:06,717.78,564.92,134,106.57,3.28,10.87,169,0.156,,,,75.8,
Cycling,2023-06-15 08:00,2023-06-15 08:14,00:14:26,737.15,518.95,158,118.26,3.64,15.12,105,0.121,,,,58.26,
Cycling,2023-06-14 16:13,2023-06-14 16:27,00:13:30,878.58,440.18,159,126.11,2.86,12.69,140,0.173,,,,51.34,
Cycling,2023-06-13 07:49,2023-06-13 08:00,00:11:06,696.54,499.46,147,122.26,3.4,18.35,77,0.116,,,,50.22,
Cycling,2023-06-12 08:21,2023-06-12 09:15,00:53:54,1607,1075,152,91.72,3.63,4.04,426,0.132,,,,83.82,
Cycling,2023-06-12 07:54,2023-06-12 08:07,00:12:50,655.64,455.96,146,110.29,3.52,16.46,210,0.273,,,,58.07,
Running,2023-06-11 09:36,2023-06-11 11:38,01:52:59,4682,3533,172,115.61,8.92,4.74,10119,1.49,,,67.0,258.03,
Walking,2023-06-10 12:02,2023-06-10 12:11,00:08:54,322.33,135.99,128,86.29,0.249,1.68,,,,,3.0,10.61,
Cycling,2023-06-09 13:05,2023-06-09 13:33,00:27:30,1209,882.98,151,117.45,5.15,11.22,214,0.13,,,,35.72,
Cycling,2023-06-09 08:02,2023-06-09 08:19,00:17:32,944.75,700.32,158,118.45,4.4,15.03,107,0.102,,,2.0,8.32,
Cycling,2023-06-08 20:12,2023-06-08 21:00,00:47:59,1716,1245,167,115.81,4.14,5.17,432,0.15,,,3.0,24.5,
Cycling,2023-06-08 16:47,2023-06-08 17:17,00:29:44,973.34,655.46,155,113.86,3.81,7.69,409,0.229,,,,93.63,
Cycling,2023-06-08 08:07,2023-06-08 08:25,00:18:57,885.68,623.77,150,109.11,3.44,10.89,217,0.191,,,,54.42,
Cycling,2023-06-07 16:27,2023-06-07 16:56,00:29:27,972.98,648.75,148,105.36,3.65,7.43,264,0.149,,,,86.92,
Cycling,2023-06-06 16:58,2023-06-06 17:17,00:19:03,794.11,650.64,140,108.98,3.42,10.76,339,0.296,,,12.0,38.35,
Cycling,2023-06-06 08:11,2023-06-06 08:24,00:13:02,728.4,513.76,154,121.01,3.41,15.67,72,0.092,,,2.0,14.34,
Running,2023-05-29 16:05,2023-05-29 16:15,00:10:24,757.35,708.91,164,147.15,1.91,10.98,1538,2.46,,,10.0,15.82,
Cycling,2023-05-26 16:15,2023-05-26 16:27,00:12:21,667.11,607.38,136,121.91,3.31,16.07,145,0.196,,,,88.33,
Cycling,2023-05-26 08:04,2023-05-26 08:15,00:11:35,657.81,494.31,152,120.21,3.42,17.7,118,0.17,,,,56.59,
Cycling,2023-05-25 16:55,2023-05-25 17:19,00:24:14,1066,644.23,154,114.96,3.61,8.94,107,0.074,,,,93.96,
Cycling,2023-05-25 08:19,2023-05-25 08:37,00:18:12,920.36,710.38,165,124.44,4.49,14.81,334,0.306,,,,47.05,
Cycling,2023-05-24 16:17,2023-05-24 16:36,00:18:17,907.05,754.91,158,127.99,4.29,14.06,120,0.109,,,9.0,54.52,
Cycling,2023-05-24 08:06,2023-05-24 08:15,00:08:19,509.27,362.48,156,129.46,2.74,19.72,66,0.132,,,,49.35,
Cycling,2023-05-23 16:32,2023-05-23 16:48,00:15:59,788.89,639.56,156,123.68,3.43,12.87,14,0.015,,,,94.43,
Cycling,2023-05-23 07:54,2023-05-23 08:04,00:09:40,622.47,474.29,152,124.8,3.35,20.82,,,,,,51.79,
Cycling,2023-05-22 16:58,2023-05-22 17:25,00:27:27,1065,799.04,151,103.58,3.37,7.37,131,0.08,,,,91.61,
Cycling,2023-05-22 08:15,2023-05-22 08:33,00:17:33,887.69,685.55,159,115.75,4.53,15.47,93,0.088,,,,50.21,
Kickboxing,2023-05-20 11:02,2023-05-20 12:05,01:02:48,3042,2546,181,133.18,,,2269,0.602,,,,,
Cycling,2023-05-19 22:01,2023-05-19 22:24,00:23:09,911.19,746.72,159,119.48,3.87,10.03,106,0.076,,,3.0,5.12,
Cycling,2023-05-19 15:12,2023-05-19 15:33,00:20:12,918.84,705.91,155,127.5,3.88,11.5,71,0.059,,,,97.75,
Cycling,2023-05-19 08:00,2023-05-19 08:19,00:19:13,891.24,682.41,158,119.26,4.54,14.17,610,0.529,,,,65.13,
Cycling,2023-05-18 16:47,2023-05-18 16:59,00:11:35,733.46,635.63,151,137.39,3.36,17.42,206,0.296,,,,93.13,
Cycling,2023-05-18 08:05,2023-05-18 08:20,00:14:52,791.69,633.43,169,133.52,4.31,17.38,123,0.138,,,,47.92,
Cycling,2023-05-17 16:29,2023-05-17 16:44,00:14:58,981.83,791.19,165,142.48,4.19,16.79,66,0.073,,,,93.44,
Cycling,2023-05-17 07:53,2023-05-17 08:03,00:10:49,634.02,471.52,157,130.39,3.37,18.67,74,0.114,,,,54.03,
Cycling,2023-05-16 16:42,2023-05-16 16:54,00:12:07,724.44,646.14,158,145.02,3.2,15.82,79,0.109,,,,96.58,
Cycling,2023-05-16 12:59,2023-05-16 13:20,00:20:33,510.16,364.72,101,88.93,3.49,10.18,70,0.057,,,,6.78,
Cycling,2023-05-16 07:51,2023-05-16 08:00,00:09:36,590.61,453.45,154,129.11,3.37,21.09,103,0.179,,,,54.18,
Walking,2023-05-13 12:02,2023-05-13 14:49,01:26:48,3007,1678,131,83.67,3.55,2.46,5541,1.06,,,24.0,95.15,
Walking,2023-05-10 17:22,2023-05-10 17:49,00:26:57,913.98,752.84,124,111.46,2.32,5.16,2617,1.62,,,11.0,40.34,
Cycling,2023-05-10 16:50,2023-05-10 17:03,00:13:12,951.53,767.61,157,140.61,3.78,17.17,255,0.322,,,,102.71,
Cycling,2023-05-10 07:54,2023-05-10 08:09,00:14:56,744.62,562.6,156,115.94,2.9,11.66,211,0.235,,,,50.91,
Cycling,2023-05-09 15:28,2023-05-09 16:07,00:39:21,1093,836.37,157,108.08,5.2,7.93,139,0.059,,,,113.38,
Cycling,2023-05-09 07:53,2023-05-09 08:04,00:11:53,629.67,468.83,159,130.04,3.39,17.12,78,0.109,,,,57.49,
Walking,2023-05-08 17:35,2023-05-08 18:03,00:28:44,916.25,694.85,135,95.8,2.28,4.76,1954,1.13,,,9.0,41.66,
Cycling,2023-05-08 16:36,2023-05-08 16:52,00:12:51,809.34,598.04,151,121.57,3.15,14.71,296,0.384,,,,68.51,
Cycling,2023-05-08 07:59,2023-05-08 08:10,00:10:58,654.15,499.52,157,122.09,3.37,18.41,83,0.126,,,,55.08,
Walking,2023-05-07 15:50,2023-05-07 16:32,00:41:18,1222,908.66,149,99.72,2.13,3.1,2399,0.968,,,13.0,61.75,
Surfing Sports,2023-05-07 12:30,2023-05-07 14:26,01:56:40,4368,3298,146,110.79,,,4797,0.685,,,,,
Walking,2023-05-07 11:59,2023-05-07 12:29,00:30:23,697.9,570.85,116,97.3,1.85,3.65,2080,1.14,,,,4.68,
Cycling,2023-05-04 16:44,2023-05-04 16:58,00:14:25,1022,621.43,160,130.36,3.49,14.53,169,0.195,,,,94.45,
Cycling,2023-05-04 07:57,2023-05-04 08:09,00:11:35,776.1,615.11,163,135.15,4.18,21.62,114,0.164,,,,43.14,
Cycling,2023-05-03 16:37,2023-05-03 16:55,00:18:20,930.84,751.2,162,124.43,4.34,14.19,142,0.129,,,,92.28,
Cycling,2023-05-03 07:49,2023-05-03 08:04,00:15:21,649.67,478.25,160,118.89,3.69,14.42,166,0.18,,,,54.36,
Cycling,2023-05-02 16:34,2023-05-02 17:01,00:21:43,1002,754.13,152,114.63,3.81,10.51,499,0.383,,,,93.36,
Cycling,2023-05-02 07:57,2023-05-02 08:13,00:15:18,761.56,577.02,155,118.52,3.41,13.37,286,0.311,,,,54.72,
Cycling,2023-05-01 16:12,2023-05-01 16:25,00:12:46,821.2,653.38,152,130.69,3.41,16,44,0.057,,,,91.48,
Cycling,2023-05-01 07:53,2023-05-01 08:20,00:27:18,1052,763.82,150,99.78,4.56,10.01,400,0.244,,,,44.7,
Other,2023-04-30 19:31,2023-04-30 20:08,00:36:30,1291,905.1,125,88,,,1387,0.633,,,,,
Cycling,2023-04-26 16:51,2023-04-26 17:14,00:23:20,1144,876.29,156,123.03,4.82,12.38,205,0.146,,,,94.03,
Cycling,2023-04-26 07:53,2023-04-26 08:03,00:10:16,569.69,437.19,151,114.27,3.35,19.57,86,0.139,,,,53.19,
Surfing Sports,2023-04-24 11:29,2023-04-24 12:57,01:28:12,3161,2334,134,95.24,,,2291,0.433,,,,,
Cycling,2023-04-21 15:30,2023-04-21 15:46,00:15:30,758.23,610.83,155,124.87,3.58,13.87,118,0.127,,,,108.07,
Cycling,2023-04-21 07:56,2023-04-21 08:05,00:09:23,625.23,466.41,157,126.91,3.33,21.28,74,0.131,,,,54.9,
Cycling,2023-04-20 12:46,2023-04-20 13:17,00:31:05,919.48,604.16,156,111.9,3.74,7.21,260,0.139,,,,94.22,
Cycling,2023-04-20 07:51,2023-04-20 07:56,00:04:51,369.25,216.05,161,138.71,1.67,20.61,161,0.552,,,,16.18,
Cycling,2023-04-20 07:47,2023-04-20 07:50,00:03:51,262.02,229.97,157,125.62,1.57,24.33,164,0.708,,,9.0,32.71,
Cycling,2023-04-19 16:25,2023-04-19 16:27,00:01:52,131.68,10.62,97,79.49,0.05,1.59,32,0.286,,,,,
Cycling,2023-04-19 15:16,2023-04-19 15:45,00:24:44,891.75,695.65,153,106.88,3.43,8.31,57,0.038,,,,95.65,
Cycling,2023-04-19 07:55,2023-04-19 08:06,00:10:51,642.68,498.15,162,126.8,3.44,19.01,172,0.264,,,,54.22,
Other,2023-04-18 22:01,2023-04-18 22:20,00:19:32,784.63,540.45,156,93.41,,,100,0.085,,,,,
Cycling,2023-04-18 16:07,2023-04-18 16:37,00:15:54,781.38,562.3,156,102.57,2.58,9.73,112,0.117,,,4.0,61.06,
Cycling,2023-04-18 07:51,2023-04-18 08:00,00:09:36,563.81,422.76,157,125.74,3.35,20.93,478,0.83,,,,55.87,
Cycling,2023-04-17 16:56,2023-04-17 17:06,00:10:08,709.27,646.38,150,135.73,3.31,19.59,89,0.146,,,,96.43,
Cycling,2023-04-17 07:51,2023-04-17 08:02,00:11:04,820.89,606.05,152,115.3,4.22,22.87,315,0.474,,,,47.4,
